,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
106,7,appCat.game,1.0,1.0,2014-04-29,2014-04-29,1.0,14.065,14.065
107,7,appCat.office,,,,,,,
108,7,appCat.other,260.0,48.0,2014-03-18,2014-03-26,234.0,1.022,822.902
109,7,appCat.social,482.0,48.0,2014-03-18,2014-03-22,464.0,0.965,1400.029
110,7,appCat.travel,81.0,22.0,2014-03-19,2014-03-28,81.0,1.004,616.319
111,7,appCat.unknown,65.0,18.0,2014-03-18,2014-03-28,65.0,1.006,412.628
112,7,appCat.utilities,9.0,7.0,2014-03-21,2014-04-28,9.0,1.002,363.429
113,7,appCat.weather,,,,,,,
114,8,mood,299.0,62.0,2014-03-05,2014-03-17,6.0,4.0,9.0
115,8,circumplex.arousal,299.0,62.0,2014-03-05,2014-03-17,5.0,-2.0,2.0
116,8,circumplex.valence,299.0,62.0,2014-03-05,2014-03-17,4.0,-1.0,2.0
117,8,activity,1159.0,50.0,2014-03-17,2014-03-19,200.0,0.0,0.834710743801653
118,8,screen,1770.0,54.0,2014-03-13,2014-03-14,1720.0,0.163000106811523,2196.12599992752
119,8,call,10.0,8.0,2014-02-25,2014-04-07,1.0,1.0,1.0
120,8,sms,105.0,20.0,2014-02-17,2014-03-06,1.0,1.0,1.0
121,8,appCat.builtin,633.0,52.0,2014-03-13,2014-03-16,533.0,0.315,4759.967
122,8,appCat.communication,1689.0,54.0,2014-03-13,2014-03-15,1437.0,0.162,9388.152
123,8,appCat.entertainment,78.0,31.0,2014-03-15,2014-04-06,78.0,0.684,2192.94
124,8,appCat.finance,,,,,,,
125,8,appCat.game,,,,,,,
126,8,appCat.office,6.0,6.0,2014-03-15,2014-04-25,6.0,5.032,163.344
127,8,appCat.other,388.0,54.0,2014-03-13,2014-03-20,346.0,0.724,3717.61
128,8,appCat.social,1058.0,54.0,2014-03-13,2014-03-16,980.0,0.384,6343.129
129,8,appCat.travel,26.0,4.0,2014-03-14,2014-03-14,25.0,2.233,978.001
130,8,appCat.unknown,25.0,8.0,2014-03-14,2014-03-27,25.0,0.8,358.674
131,8,appCat.utilities,58.0,31.0,2014-03-13,2014-04-08,56.0,3.004,199.548
132,8,appCat.weather,,,,,,,
133,9,mood,197.0,46.0,2014-03-21,2014-04-01,6.0,4.0,9.0
134,9,circumplex.arousal,197.0,46.0,2014-03-21,2014-04-01,4.0,-2.0,1.0
135,9,circumplex.valence,197.0,46.0,2014-03-21,2014-04-01,4.0,-1.0,2.0
136,9,activity,659.0,36.0,2014-03-22,2014-03-23,96.0,0.0,0.783333333333333
137,9,screen,2311.0,37.0,2014-03-21,2014-03-21,2282.0,0.45199990272522,3778.54600000381
138,9,call,134.0,46.0,2014-02-17,2014-03-12,1.0,1.0,1.0
139,9,sms,38.0,21.0,2014-02-25,2014-03-19,1.0,1.0,1.0
140,9,appCat.builtin,368.0,36.0,2014-03-21,2014-03-24,322.0,0.098,1429.469
141,9,appCat.communication,1783.0,37.0,2014-03-21,2014-03-22,1629.0,0.017,468.834
142,9,appCat.entertainment,4380.0,37.0,2014-03-21,2014-03-21,2776.0,0.003,32148.677
143,9,appCat.finance,46.0,21.0,2014-03-24,2014-04-03,44.0,1.003,191.111
144,9,appCat.game,2.0,2.0,2014-04-04,2014-04-05,2.0,80.992,175.019
